"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"1",116134,586942,"Paul",2011-05-14,"within an hour","100","100","t","Apartment",150,250,99,"Antwerp",99,2.03,1,1,1.67,0.97,10.43
"3",224682,1263933,"Kristien",2011-10-08,"within an hour","100","95","t","Apartment",105,100,95,"Antwerp",95,1.85,1,0.95,0.95,0.98,10.09
"4",345959,1754396,"Marleen",2012-02-15,"within an hour","100","100","t","Apartment",45,NA,95,"Antwerp",95,1.69,1,1,0,1,10.19
"5",366252,1820186,"Fronk & Lieve",2012-02-27,"within an hour","100","54","t","Apartment",31,0,91,"Antwerp",91,1.68,1,0.54,0,1,8.34
"6",575935,1128692,"Larissa",2011-09-08,"within an hour","100","93","t","Apartment",60,300,96,"Antwerp",96,1.89,1,0.93,5,0.9,9.81
"7",603545,2987880,"Serge",2012-07-19,"within an hour","100","88","t","Loft",150,400,95,"Antwerp",95,1.5,1,0.88,2.67,0.95,9.36
"8",636664,462975,"Els",2011-03-25,"within an hour","100","79","t","Apartment",85,NA,88,"Antwerp",88,2.09,1,0.79,0,1,9.75
"9",723033,3734348,"Sylvia",2012-10-02,"within an hour","100","94","t","Apartment",60,150,91,"Antwerp",91,1.41,1,0.94,2.5,0.95,9.52
"10",789555,3185214,"Annemie",2012-08-07,"within an hour","100","99","t","Apartment",93,0,97,"Antwerp",96,1.48,1,0.99,0,1,9.94
"11",991824,5446991,"Magali",2013-03-13,"within an hour","100","100","t","Apartment",77,NA,93,"Antwerp",91,1.21,1,1,0,1,9.71
"12",1292916,3998871,"Rob",2012-10-28,"within an hour","100","100","t","Apartment",45,NA,97,"Antwerp",97,1.38,1,1,0,1,9.88
"13",1585405,8446724,"Vera",2013-08-27,"within an hour","100","100","t","House",35,0,97,"Antwerp",97,1.01,1,1,0,1,9.51
"14",1785355,5537956,"Héloïse",2013-03-19,"within an hour","100","55","t","Apartment",36,200,92,"Antwerp",92,1.21,1,0.55,5.56,0.89,7.57
"15",1808782,9478810,"Keith",2013-10-17,"within an hour","100","100","t","Loft",110,0,99,"Antwerp",99,0.95,1,1,0,1,9.45
"16",2433570,12411315,"Sophie",2014-02-20,"within an hour","100","100","t","Apartment",49,500,94,"Antwerp",94,0.79,1,1,10.2,0.8,8.68
"17",2522970,12917758,"Bart",2014-03-08,"within an hour","100","100","t","Apartment",98,NA,97,"Antwerp",97,0.78,1,1,0,1,9.28
"18",2682808,13733939,"Anneke",2014-03-31,"within an hour","100","100","t","Townhouse",33,NA,91,"Antwerp",91,0.75,1,1,0,1,9.25
"19",3540493,15709831,"Liam",2014-05-19,"within an hour","100","100","t","Apartment",51,200,90,"Antwerp",90,0.69,1,1,3.92,0.92,8.95
"20",4017995,20834666,"Greta",2014-09-02,"within an hour","100","100","t","Bed and breakfast",75,NA,99,"Antwerp",95,0.56,1,1,0,1,9.06
"21",4178600,21679611,"Tom",2014-09-23,"within an hour","100","100","t","House",60,0,93,"Antwerp",93,0.53,1,1,0,1,9.03
"22",4322521,15216532,"Pascal",2014-05-07,"within an hour","100","99","t","Apartment",99,250,97,"Antwerp",97,0.7,1,0.99,2.53,0.95,9.01
"23",4425751,3093188,"Saskia",2012-07-29,"within an hour","100","93","t","Apartment",50,0,94,"Antwerp",94,1.49,1,0.93,0,1,9.71
"24",4592434,23805604,"Gina",2014-11-16,"within an hour","100","100","t","Apartment",150,250,98,"Antwerp",98,0.47,1,1,1.67,0.97,8.87
"25",4690351,24250249,"Lies",2014-11-28,"within an hour","100","100","t","Apartment",59,NA,97,"Antwerp",97,0.45,1,1,0,1,8.95
"26",5047962,12309348,"Luc & Kristina",2014-02-17,"within an hour","100","97","t","Loft",60,0,93,"Antwerp",93,0.8,1,0.97,0,1,9.18
"27",5074616,26204741,"Patrick",2015-01-16,"within an hour","100","100","t","Condominium",65,500,97,"Antwerp",97,0.39,1,1,7.69,0.85,8.43
"28",5187760,24007242,"Bep",2014-11-21,"within an hour","100","93","t","Apartment",375,NA,98,"Antwerp",98,0.46,1,0.93,0,1,8.68
"29",5233718,27086764,"Nina",2015-02-02,"within an hour","100","94","t","Apartment",80,150,97,"Antwerp",97,0.37,1,0.94,1.88,0.96,8.52
"30",5417459,7553126,"Tania",2013-07-17,"within an hour","100","97","t","House",50,586,96,"Antwerp",96,1.06,1,0.97,11.72,0.77,8.74
"31",6046872,27432928,"Anastassya",2015-02-08,"within an hour","100","98","t","Apartment",75,500,99,"Antwerp",99,0.36,1,0.98,6.67,0.87,8.38
"32",6051973,3970988,"Arthur",2012-10-25,"within an hour","100","100","t","Apartment",115,200,99,"Antwerp",99,1.38,1,1,1.74,0.97,9.78
"33",6070843,2781289,"Sanne",2012-06-29,"within an hour","100","98","t","Townhouse",65,250,98,"Antwerp",98,1.53,1,0.98,3.85,0.92,9.72
"34",6149034,25673165,"Sharon",2015-01-06,"within an hour","100","100","t","Apartment",65,0,95,"Antwerp",95,0.4,1,1,0,1,8.9
"35",6280548,32648035,"Hannes",2015-05-05,"within an hour","100","100","t","Apartment",45,250,94,"Antwerp",94,0.26,1,1,5.56,0.89,8.43
"36",6418099,33481052,"Anne",2015-05-16,"within an hour","100","92","t","Townhouse",56,NA,97,"Antwerp",98,0.25,1,0.92,0,1,8.43
"37",6545997,34241163,"Peter",2015-05-26,"within an hour","100","100","t","Apartment",69,NA,99,"Antwerp",99,0.23,1,1,0,1,8.73
"38",6584668,9629145,"Tom",2013-10-25,"within an hour","100","96","t","Townhouse",450,1000,99,"Antwerp",99,0.94,1,0.96,2.22,0.96,9.15
"39",6585827,34449017,"Martha",2015-05-28,"within an hour","100","92","t","House",38,0,97,"Antwerp",94,0.23,1,0.92,0,1,8.41
"40",6670508,34913046,"Laila",2015-06-03,"within an hour","100","100","t","Apartment",86,0,97,"Antwerp",97,0.22,1,1,0,1,8.72
"41",6988851,4371798,"Nina",2012-12-10,"within an hour","100","90","t","Apartment",86,250,99,"Antwerp",98,1.33,1,0.9,2.91,0.94,9.25
"43",7365174,30007259,"Carlo En Johnny",2015-03-25,"within an hour","100","100","t","House",42,NA,98,"Antwerp",98,0.31,1,1,0,1,8.81
"44",7395215,38669961,"Charis",2015-07-16,"within an hour","100","88","t","Apartment",92,500,95,"Antwerp",95,0.17,1,0.88,5.43,0.89,7.87
"45",7614218,8851707,"Nancy & Arthur",2013-09-15,"within an hour","100","83","t","Apartment",50,250,94,"Antwerp",94,0.99,1,0.83,5,0.9,8.51
"46",7814882,19889207,"Alexander",2014-08-12,"within an hour","100","100","t","Apartment",75,NA,97,"Antwerp",96,0.58,1,1,0,1,9.08
"47",7977950,15310569,"Bart",2014-05-09,"within an hour","100","88","t","Apartment",38,NA,93,"Antwerp",93,0.7,1,0.88,0,1,8.72
"48",8360000,44063080,"Katja",2015-09-13,"within an hour","100","96","t","Apartment",58,0,96,"Antwerp",96,0.1,1,0.96,0,1,8.44
"49",8587634,32817557,"Kukumaria",2015-05-07,"within an hour","100","100","t","House",50,0,97,"Antwerp",97,0.26,1,1,0,1,8.76
"50",8599666,39961455,"Sam",2015-07-29,"within an hour","100","99","t","Apartment",80,400,97,"Antwerp",96,0.16,1,0.99,5,0.9,8.32
"51",8769507,45978299,"Karine",2015-10-07,"within an hour","100","100","t","Loft",99,100,98,"Antwerp",98,0.07,1,1,1.01,0.98,8.51
"52",8965535,46855052,"Marije",2015-10-18,"within an hour","100","96","t","Loft",69,NA,93,"Antwerp",93,0.06,1,0.96,0,1,8.4
"53",9023182,45352120,"Jakke",2015-09-29,"within an hour","100","81","t","Apartment",65,NA,95,"Antwerp",95,0.08,1,0.81,0,1,7.82
"54",9063100,42451031,"Arno",2015-08-25,"within an hour","100","100","t","Apartment",145,0,96,"Antwerp",96,0.12,1,1,0,1,8.62
"55",9444009,48943070,"Anny",2015-11-13,"within an hour","100","96","t","Condominium",80,NA,97,"Antwerp",97,0.03,1,0.96,0,1,8.37
"57",9790385,2702001,"Tom & Carla",2012-06-21,"within an hour","100","99","t","Apartment",65,250,98,"Antwerp",97,1.54,1,0.99,3.85,0.92,9.77
"58",10286773,8757194,"Vito",2013-09-10,"within an hour","100","100","t","Apartment",75,0,96,"Antwerp",96,0.99,1,1,0,1,9.49
"59",10422112,33632853,"Jeroen",2015-05-18,"within an hour","100","100","t","Loft",130,NA,95,"Antwerp",95,0.24,1,1,0,1,8.74
"60",10604260,10026319,"Marc",2013-11-15,"within an hour","100","77","t","House",60,NA,98,"Antwerp",98,0.91,1,0.77,0,1,8.49
"61",10845191,56170552,"Ada & Wim",2016-01-26,"within an hour","100","99","t","Townhouse",30,1000,97,"Antwerp",97,-0.07,1,0.99,33.33,0.33,6.39
"63",11004345,43247005,"Rebecca",2015-09-03,"within an hour","100","87","t","Apartment",60,250,98,"Antwerp",96,0.11,1,0.87,4.17,0.92,7.84
"64",11594953,61343779,"Paul",2016-03-03,"within an hour","100","100","t","Apartment",100,300,99,"Antwerp",99,-0.11,1,1,3,0.94,8.21
"65",11859199,52779266,"Nico",2015-12-30,"within an hour","100","100","t","Apartment",48,NA,95,"Antwerp",95,-0.03,1,1,0,1,8.47
"66",12509158,2452987,"Eveline",2012-05-24,"within an hour","100","96","t","Loft",99,NA,96,"Antwerp",96,1.57,1,0.96,0,1,9.91
"67",12659772,11811395,"Pauline",2014-01-31,"within an hour","100","100","t","House",99,150,96,"Antwerp",96,0.82,1,1,1.52,0.97,9.23
"68",12746696,3922134,"Erwin",2012-10-19,"within an hour","100","100","t","Loft",96,NA,99,"Antwerp",99,1.39,1,1,0,1,9.89
"69",12864070,70325465,"Dries",2016-05-04,"within an hour","100","100","t","Apartment",65,250,96,"Antwerp",96,-0.19,1,1,3.85,0.92,8.08
"70",12968887,71339309,"Willem",2016-05-10,"within an hour","100","96","t","Apartment",75,250,97,"Antwerp",97,-0.19,1,0.96,3.33,0.93,7.95
"71",13027951,7180790,"Sean",2013-06-29,"within an hour","100","100","t","Apartment",100,120,96,"Antwerp",96,1.08,1,1,1.2,0.98,9.51
"72",13199192,13145096,"Veerle",2014-03-15,"within an hour","100","92","t","Villa",125,1500,100,"Antwerp",98,0.77,1,0.92,12,0.76,8.23
"73",13350400,32949554,"Stéphane En Anneke",2015-05-09,"within an hour","100","100","t","Condominium",75,500,97,"Antwerp",97,0.25,1,1,6.67,0.87,8.35
"74",13457478,9697887,"Ken",2013-10-29,"within an hour","100","97","t","Apartment",59,0,97,"Antwerp",97,0.93,1,0.97,0,1,9.31
"75",13640722,3042153,"Hannes",2012-07-24,"within an hour","100","100","t","Apartment",65,150,99,"Antwerp",99,1.5,1,1,2.31,0.95,9.86
"76",14399270,2528396,"Shana",2012-06-02,"within an hour","100","97","t","Apartment",34,NA,96,"Antwerp",96,1.56,1,0.97,0,1,9.94
"77",14798944,1839854,"Stijn&Magali",2012-03-01,"within an hour","100","100","t","Apartment",55,NA,97,"Antwerp",97,1.67,1,1,0,1,10.17
"78",14905174,93598620,"Julie",2016-09-05,"within an hour","100","93","t","Apartment",25,500,98,"Antwerp",98,-0.34,1,0.93,20,0.6,6.68
"79",15292817,76723203,"Carlile",2016-06-09,"within an hour","100","72","t","Apartment",43,0,98,"Antwerp",98,-0.23,1,0.72,0,1,7.15
"80",15349356,10048055,"Liz",2013-11-16,"within an hour","100","99","t","Apartment",53,0,97,"Antwerp",97,0.91,1,0.99,0,1,9.37
"81",15371998,28757711,"Ewa",2015-03-04,"within an hour","100","97","t","Apartment",120,NA,98,"Antwerp",98,0.33,1,0.97,0,1,8.71
"82",15855343,55380854,"Chris",2016-01-20,"within an hour","100","100","t","Apartment",65,0,96,"Antwerp",96,-0.06,1,1,0,1,8.44
"83",15899585,20444360,"Vital",2014-08-23,"within an hour","100","96","t","Apartment",100,600,100,"Antwerp",100,0.57,1,0.96,6,0.88,8.55
"84",15949936,24731798,"Christel & Paul",2014-12-11,"within an hour","100","91","t","Apartment",59,0,98,"Antwerp",98,0.44,1,0.91,0,1,8.58
"85",16036168,104344031,"Kristof",2016-11-19,"within an hour","100","100","t","Apartment",99,NA,97,"Antwerp",97,-0.43,1,1,0,1,8.07
"86",16228171,14408766,"Bert En Ellen",2016-12-03,"within an hour","100","100","t","Townhouse",80,300,99,"Antwerp",99,-0.45,1,1,3.75,0.92,7.83
"87",16238598,106146420,"Patrick",2016-12-04,"within an hour","100","100","t","Apartment",60,0,95,"Antwerp",96,-0.45,1,1,0,1,8.05
"88",16291478,106578417,"Greet",2016-12-08,"within an hour","88","82","t","Townhouse",150,0,100,"Antwerp",100,-0.45,0.88,0.82,0,1,7.15
"89",16574735,109220278,"Ferdy",2016-12-31,"within an hour","100","100","t","Apartment",55,0,98,"Antwerp",98,-0.48,1,1,0,1,8.02
"90",16610326,109618168,"Chantal & Christian",2017-01-03,"within an hour","100","100","t","Apartment",95,0,97,"Antwerp",99,-0.48,1,1,0,1,8.02
"91",16682067,107000366,"Jan",2016-12-12,"within an hour","100","89","t","Apartment",58,0,99,"Antwerp",99,-0.46,1,0.89,0,1,7.6
