"","place","property_type","average_price"
"1","Antwerp","Aparthotel",126.952380952381
"2","Antwerp","Apartment",151.875075437538
"3","Antwerp","Barn",39.3333333333333
"4","Antwerp","Bed and breakfast",95.6666666666667
"5","Antwerp","Boat",60
"6","Antwerp","Boutique hotel",81.4117647058823
"7","Antwerp","Castle",275.75
"8","Antwerp","Condominium",78.3260869565217
"9","Antwerp","Cottage",68.75
"10","Antwerp","Earth house",21
"11","Antwerp","Guest suite",114.058823529412
"12","Antwerp","Guesthouse",67
"13","Antwerp","Hostel",123.5
"14","Antwerp","Hotel",215.8
"15","Antwerp","House",91.5733944954128
"16","Antwerp","Loft",111.756906077348
"17","Antwerp","Other",55.2857142857143
"18","Antwerp","Serviced apartment",93.5172413793103
"19","Antwerp","Tiny house",65
"20","Antwerp","Townhouse",106.203883495146
"21","Antwerp","Villa",651.777777777778
"22","Antwerp","Yurt",36
"23","Brussels","Aparthotel",92.8888888888889
"24","Brussels","Apartment",71.9074275081408
"25","Brussels","Barn",30
"26","Brussels","Bed and breakfast",100.386861313869
"27","Brussels","Boutique hotel",143.869565217391
"28","Brussels","Casa particular (Cuba)",60
"29","Brussels","Cave",20
"30","Brussels","Condominium",71.9471153846154
"31","Brussels","Cottage",33
"32","Brussels","Dome house",59
"33","Brussels","Earth house",52
"34","Brussels","Farm stay",43
"35","Brussels","Guest suite",299.78125
"36","Brussels","Guesthouse",61.9814814814815
"37","Brussels","Hostel",151.5
"38","Brussels","Hotel",216.788461538462
"39","Brussels","House",85.2604042806183
"40","Brussels","Loft",87.1768488745981
"41","Brussels","Nature lodge",266.25
"42","Brussels","Other",43.25
"43","Brussels","Pension (South Korea)",45
"44","Brussels","Serviced apartment",142.582159624413
"45","Brussels","Tiny house",47
"46","Brussels","Townhouse",66.3803526448363
"47","Brussels","Villa",163.384615384615
"48","Ghent","Aparthotel",185.25
"49","Ghent","Apartment",90.4484451718494
"50","Ghent","Barn",32.5
"51","Ghent","Bed and breakfast",102.607843137255
"52","Ghent","Boat",126.090909090909
"53","Ghent","Boutique hotel",150
"54","Ghent","Bungalow",73.75
"55","Ghent","Cabin",100
"56","Ghent","Camper/RV",70.6666666666667
"57","Ghent","Condominium",80.6764705882353
"58","Ghent","Cottage",68.25
"59","Ghent","Farm stay",102
"60","Ghent","Guest suite",71.5
"61","Ghent","Guesthouse",102.25
"62","Ghent","Hostel",98.4117647058823
"63","Ghent","Hotel",90
"64","Ghent","House",99.6791277258567
"65","Ghent","Houseboat",108.571428571429
"66","Ghent","Loft",104.328571428571
"67","Ghent","Other",85
"68","Ghent","Serviced apartment",59
"69","Ghent","Tiny house",90
"70","Ghent","Townhouse",80.705069124424
"71","Ghent","Villa",114.875
