"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"253",42521,185699,"Claire",2010-07-30,"within an hour","100","100","t","Townhouse",45,0,99,"Brussels",99,2.38,1,1,0,1,10.88
"254",130097,641036,"Pascal",2011-05-30,"within an hour","100","100","t","Bed and breakfast",97,0,99,"Brussels",98,2.01,1,1,0,1,10.51
"255",137971,674142,"RAS Residence",2011-06-07,"within an hour","100","79","t","Apartment",165,300,95,"Brussels",95,2,1,0.79,1.82,0.96,9.55
"256",159836,766382,"Lucile",2011-07-01,"within an hour","100","99","t","Loft",49,NA,96,"Brussels",96,1.97,1,0.99,0,1,10.43
"257",198943,971770,"Antoine",2011-08-15,"within an hour","100","100","t","Apartment",80,NA,96,"Brussels",96,1.92,1,1,0,1,10.42
"258",200385,624176,"Daan",2011-05-25,"within an hour","100","100","t","Apartment",60,0,96,"Brussels",96,2.02,1,1,0,1,10.52
"259",268652,1408080,"Luc",2011-11-15,"within an hour","100","100","t","Loft",80,0,97,"Brussels",97,1.8,1,1,0,1,10.3
"260",378953,1823420,"Vincent",2012-02-28,"within an hour","100","96","t","Villa",35,NA,99,"Brussels",97,1.68,1,0.96,0,1,10.02
"261",431251,1928822,"Bruno",2012-03-15,"within an hour","100","100","t","Apartment",140,0,97,"Brussels",97,1.66,1,1,0,1,10.16
"262",448217,2226232,"Anne",2012-04-26,"within an hour","100","99","t","Apartment",48,NA,97,"Brussels",97,1.61,1,0.99,0,1,10.07
"263",510929,2210824,"Carine",2012-04-24,"within an hour","100","99","t","Apartment",30,100,99,"Brussels",99,1.61,1,0.99,3.33,0.93,9.87
"264",540081,2653911,"Françoise, Maurice",2012-06-16,"within an hour","100","100","t","Apartment",147,600,97,"Brussels",97,1.54,1,1,4.08,0.92,9.8
"265",540234,2654837,"Aurore",2012-06-16,"within an hour","100","96","t","Apartment",70,NA,96,"Brussels",95,1.54,1,0.96,0,1,9.88
"266",541182,2504586,"Jean",2012-05-30,"within an hour","100","100","t","Loft",100,300,98,"Brussels",98,1.56,1,1,3,0.94,9.88
"267",678139,3449982,"Laetitia",2012-09-02,"within an hour","100","100","t","Apartment",54,NA,95,"Brussels",95,1.45,1,1,0,1,9.95
"268",697502,3573643,"Det",2012-09-15,"within an hour","100","93","t","Loft",240,300,94,"Brussels",94,1.43,1,0.93,1.25,0.98,9.58
"269",746595,3917867,"Hugues",2012-10-19,"within an hour","100","100","t","Apartment",130,350,98,"Brussels",98,1.39,1,1,2.69,0.95,9.73
"270",753573,3925484,"Madeleine",2012-10-20,"within an hour","100","96","t","Apartment",44,0,99,"Brussels",99,1.39,1,0.96,0,1,9.73
"271",766155,4040022,"Brigitte",2012-11-02,"within an hour","100","98","t","Apartment",62,NA,95,"Brussels",95,1.37,1,0.98,0,1,9.79
"272",807834,4250257,"Bernard",2012-11-26,"within an hour","100","99","t","Condominium",85,NA,98,"Brussels",98,1.34,1,0.99,0,1,9.8
"273",817887,4296010,"Berre",2012-12-01,"within an hour","100","100","t","Loft",75,0,99,"Brussels",98,1.34,1,1,0,1,9.84
"274",871638,4595663,"Jacques & Janine",2013-01-05,"within an hour","100","100","t","Loft",40,NA,97,"Brussels",97,1.3,1,1,0,1,9.8
"275",905055,4841685,"Helena & Philip",2013-01-25,"within an hour","100","97","t","Townhouse",74,150,97,"Brussels",97,1.27,1,0.97,2.03,0.96,9.53
"276",913408,4903018,"Shoghi",2013-01-30,"within an hour","100","61","t","House",53,350,93,"Brussels",94,1.27,1,0.61,6.6,0.87,7.81
