"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"918",187870,904277,"Tamara",2011-08-01,"within an hour","100","100","t","Townhouse",55,0,97,"Ghent",97,1.93,1,1,0,1,10.43
"919",252269,1195314,"Anne-Sophie",2011-09-22,"within an hour","100","89","t","Townhouse",210,500,98,"Ghent",98,1.87,1,0.89,2.38,0.95,9.79
"920",392245,1961511,"Hans",2012-03-18,"within an hour","100","90","t","Apartment",32,NA,96,"Ghent",98,1.65,1,0.9,0,1,9.75
"921",878177,4640769,"Geertje",2013-01-09,"within an hour","89","100","t","Bed and breakfast",55,0,100,"Ghent",100,1.29,0.89,1,0,1,9.63
"922",924683,4974034,"Carmen",2013-02-05,"within an hour","100","95","t","Apartment",58,0,98,"Ghent",98,1.26,1,0.95,0,1,9.56
"923",1018048,5600970,"Johan",2013-03-24,"within an hour","100","100","t","Apartment",44,250,96,"Ghent",96,1.2,1,1,5.68,0.89,9.36
"924",1141163,5082339,"Joost",2013-02-14,"within an hour","100","100","t","Apartment",85,300,95,"Ghent",95,1.25,1,1,3.53,0.93,9.54
"925",1222069,5456443,"Ruth",2013-03-14,"within an hour","100","100","t","Bed and breakfast",80,NA,97,"Ghent",97,1.21,1,1,0,1,9.71
"926",1354090,7349426,"Barnabé",2013-07-08,"within an hour","100","84","t","Apartment",48,0,98,"Ghent",98,1.07,1,0.84,0,1,8.93
"927",1368957,6747265,"Arnoud",2013-06-05,"within an hour","100","99","t","Apartment",39,0,96,"Ghent",96,1.11,1,0.99,0,1,9.57
"928",1378568,7467550,"Anne-Marie",2013-07-13,"within an hour","100","100","t","House",55,0,93,"Ghent",93,1.07,1,1,0,1,9.57
"929",1482891,2091743,"Paul",2012-04-08,"within an hour","100","97","t","Townhouse",29,0,98,"Ghent",98,1.63,1,0.97,0,1,10.01
"930",1723685,9072131,"Mieke",2013-09-26,"within an hour","100","97","t","Apartment",65,500,97,"Ghent",97,0.97,1,0.97,7.69,0.85,8.89
"931",1858310,9696770,"Tomas",2013-10-29,"within an hour","100","100","t","Loft",45,0,93,"Ghent",93,0.93,1,1,0,1,9.43
"932",1894366,9844612,"Sofia",2013-11-06,"within an hour","100","100","t","Apartment",84,NA,96,"Ghent",96,0.92,1,1,0,1,9.42
