"","reviews_per_month","availability_30","price","id","place"
"1",0.02,6,145,50904,"Antwerp"
"2",1.01,27,150,116134,"Antwerp"
"3",0.01,0,16,224333,"Antwerp"
"4",3.41,28,105,224682,"Antwerp"
"5",0.6,29,55,328911,"Antwerp"
"6",0.56,19,45,345959,"Antwerp"
"7",1.07,30,31,366252,"Antwerp"
"8",0.63,30,30,366325,"Antwerp"
"9",0.57,30,30,445201,"Antwerp"
"10",0.17,0,48,465282,"Antwerp"
"11",0.04,30,195,522693,"Antwerp"
"12",0.02,30,150,553618,"Antwerp"
"13",0.1,0,60,569956,"Antwerp"
"14",0.23,0,98,573641,"Antwerp"
"15",0.39,29,60,575935,"Antwerp"
"16",0.23,16,150,603545,"Antwerp"
"17",0.87,30,85,636664,"Antwerp"
"18",0.37,0,85,639013,"Antwerp"
"19",0.07,29,65,685049,"Antwerp"
"20",NA,0,120,685053,"Antwerp"
"21",2.71,21,60,723033,"Antwerp"
"22",2.11,28,75,746729,"Antwerp"
"23",0.75,0,75,772842,"Antwerp"
"24",0.7,29,65,778043,"Antwerp"
"25",0.54,30,93,789555,"Antwerp"
"26",0.98,21,177,813969,"Antwerp"
"27",4.56,25,40,842077,"Antwerp"
"28",3.25,24,40,866701,"Antwerp"
"29",0.94,0,85,891355,"Antwerp"
"30",1.57,10,150,891884,"Antwerp"
"31",0.07,22,180,891907,"Antwerp"
"32",0.74,30,48,959200,"Antwerp"
"33",0.7,0,340,961296,"Antwerp"
"34",2.7,28,77,991824,"Antwerp"
"35",0.26,29,115,1001223,"Antwerp"
"36",3.48,0,62,1038791,"Antwerp"
"37",0.28,28,77,1050693,"Antwerp"
"38",0.36,30,75,1105318,"Antwerp"
"39",2.55,23,40,1108491,"Antwerp"
"40",0.2,30,108,1134686,"Antwerp"
"41",1.36,0,35,1138959,"Antwerp"
"42",1.98,30,55,1146375,"Antwerp"
"43",0.11,0,69,1159039,"Antwerp"
"44",0.18,30,80,1172376,"Antwerp"
"45",0.34,19,16,1172826,"Antwerp"
"46",0.25,26,175,1184623,"Antwerp"
"47",0.41,11,77,1209063,"Antwerp"
"48",3,24,60,1227242,"Antwerp"
"49",0.06,29,55,1235629,"Antwerp"
"50",1.08,11,90,1266888,"Antwerp"
"51",0.04,29,179,1267516,"Antwerp"
"52",0.61,0,45,1292916,"Antwerp"
"53",0.28,0,70,1306743,"Antwerp"
"54",1.63,24,60,1328770,"Antwerp"
"55",0.07,0,60,1338036,"Antwerp"
"56",1.21,29,90,1405414,"Antwerp"
"57",0.51,0,80,1427505,"Antwerp"
"58",0.12,0,50,1444602,"Antwerp"
"59",0.67,23,100,1504952,"Antwerp"
"60",1.91,0,35,1534890,"Antwerp"
"61",0.42,16,65,1577011,"Antwerp"
"62",2.41,30,35,1585405,"Antwerp"
"63",2,28,100,1666809,"Antwerp"
"64",0.46,0,70,1708652,"Antwerp"
"65",2.8,14,36,1785355,"Antwerp"
"66",0.94,10,38,1791465,"Antwerp"
"67",2.35,16,110,1808782,"Antwerp"
"68",0.51,29,65,1856023,"Antwerp"
"69",5.62,30,64,1901179,"Antwerp"
"70",3.26,0,104,1986344,"Antwerp"
"71",0.11,30,270,2023708,"Antwerp"
"72",1.32,21,22,2059299,"Antwerp"
"73",0.16,27,85,2059774,"Antwerp"
"74",1.83,30,60,2069688,"Antwerp"
"75",NA,29,23,2073182,"Antwerp"
"76",0.16,19,45,2086302,"Antwerp"
"77",0.27,30,75,2133274,"Antwerp"
"78",0.99,30,49,2154692,"Antwerp"
"79",6.03,30,36,2194840,"Antwerp"
"80",0.49,28,50,2230592,"Antwerp"
"81",0.03,0,85,2347414,"Antwerp"
"82",4,29,110,2427717,"Antwerp"
"83",1.4,30,49,2433570,"Antwerp"
"84",3.97,0,105,2436964,"Antwerp"
"85",NA,30,165,2448815,"Antwerp"
"86",2.41,0,45,2507353,"Antwerp"
"87",2.97,26,98,2522970,"Antwerp"
"88",0.18,11,180,2543695,"Antwerp"
"89",1.99,21,65,2602613,"Antwerp"
"90",0.43,19,65,2664034,"Antwerp"
"91",0.72,0,60,2682144,"Antwerp"
"92",4.77,22,33,2682808,"Antwerp"
"93",0.19,8,59,2762341,"Antwerp"
"94",1.92,30,36,2819412,"Antwerp"
"95",0.36,30,450,2819790,"Antwerp"
"96",1.4,30,44,2820108,"Antwerp"
"97",0.74,30,48,2843276,"Antwerp"
"98",1.23,30,18,2918528,"Antwerp"
"99",0.1,0,65,2957381,"Antwerp"
"100",2.48,25,140,3025379,"Antwerp"
"101",3.13,22,335,3048594,"Antwerp"
"102",0.12,0,59,3065963,"Antwerp"
"103",0.16,0,230,3197919,"Antwerp"
"104",0.61,29,66,3202647,"Antwerp"
"105",0.16,24,70,3203133,"Antwerp"
"106",0.65,0,87,3207291,"Antwerp"
"107",0.54,30,59,3218767,"Antwerp"
"108",0.63,0,109,3268690,"Antwerp"
"109",0.43,16,110,3426775,"Antwerp"
"110",0.25,9,55,3467654,"Antwerp"
"111",1.17,29,95,3518676,"Antwerp"
"112",3.94,27,51,3540493,"Antwerp"
"113",0.91,0,49,3609370,"Antwerp"
"114",NA,0,40,3711139,"Antwerp"
"115",0.09,0,110,3806718,"Antwerp"
"116",0.35,0,180,3857702,"Antwerp"
"117",NA,0,50,3889129,"Antwerp"
"118",0.05,0,65,3894091,"Antwerp"
"119",4.99,30,27,3969576,"Antwerp"
"120",0.36,16,75,4017995,"Antwerp"
"121",1.49,0,55,4026852,"Antwerp"
"122",2.12,29,75,4030176,"Antwerp"
"123",0.25,0,58,4032738,"Antwerp"
"124",0.61,17,75,4064854,"Antwerp"
"125",0.13,28,200,4163391,"Antwerp"
"126",2.43,17,60,4178600,"Antwerp"
"127",0.31,0,180,4265913,"Antwerp"
"128",0.22,22,135,4303323,"Antwerp"
"129",1.65,0,47,4310567,"Antwerp"
"130",3.2,23,99,4322521,"Antwerp"
"131",0.16,0,41,4332020,"Antwerp"
"132",8.47,0,60,4364294,"Antwerp"
"133",0.37,0,50,4399227,"Antwerp"
"134",1.51,0,50,4425751,"Antwerp"
"135",1.31,29,40,4444232,"Antwerp"
"136",1.07,0,40,4480525,"Antwerp"
"137",NA,0,65,4491892,"Antwerp"
"138",8.77,29,75,4502646,"Antwerp"
"139",0.91,6,150,4592434,"Antwerp"
"140",3,14,59,4690351,"Antwerp"
"141",0.25,0,36,4703827,"Antwerp"
"142",0.2,0,49,4726962,"Antwerp"
"143",1.7,25,190,4733497,"Antwerp"
"144",0.35,0,60,4808747,"Antwerp"
"145",NA,29,25,4852878,"Antwerp"
"146",0.07,29,25,4853047,"Antwerp"
"147",0.02,16,109,4853293,"Antwerp"
"148",0.16,0,175,4900847,"Antwerp"
"149",0.99,13,65,4919286,"Antwerp"
"150",0.12,0,85,4980368,"Antwerp"
"151",0.51,0,75,4985922,"Antwerp"
"152",0.69,29,99,5020599,"Antwerp"
"153",1.44,28,160,5026455,"Antwerp"
"154",1.29,0,100,5027767,"Antwerp"
"155",1.08,30,93,5040147,"Antwerp"
"156",2.05,0,60,5047962,"Antwerp"
"157",1.12,1,65,5074616,"Antwerp"
"158",0.47,0,80,5083787,"Antwerp"
"159",NA,0,59,5087534,"Antwerp"
"160",0.04,23,70,5096851,"Antwerp"
"161",0.12,0,35,5124747,"Antwerp"
"162",0.55,11,375,5187760,"Antwerp"
"163",5.41,30,55,5223125,"Antwerp"
"164",0.29,26,80,5233718,"Antwerp"
"165",NA,0,25,5317448,"Antwerp"
"166",0.54,0,42,5345806,"Antwerp"
"167",2.95,29,240,5379855,"Antwerp"
"168",0.54,17,89,5382509,"Antwerp"
"169",1.83,0,50,5417459,"Antwerp"
"170",0.28,0,60,5555535,"Antwerp"
"171",1.61,30,85,5574536,"Antwerp"
"172",3.48,22,115,5575185,"Antwerp"
"173",2.86,0,85,5578067,"Antwerp"
"174",0.34,4,59,5629681,"Antwerp"
"175",0.76,22,55,5646286,"Antwerp"
"176",0.07,0,60,5664999,"Antwerp"
"177",0.55,16,73,5695757,"Antwerp"
"178",1.38,23,90,5702020,"Antwerp"
"179",0.57,0,70,5741728,"Antwerp"
"180",0.66,0,79,5789730,"Antwerp"
"181",0.49,0,80,5869273,"Antwerp"
"182",0.03,0,90,5914975,"Antwerp"
"183",0.8,29,99,5922786,"Antwerp"
"184",0.3,30,75,5923185,"Antwerp"
"185",0.36,23,99,5923210,"Antwerp"
